0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Audio,,(file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declension of sammal (type askel)  singular  plural  nominative  sammal  sammaletsammaleet  genitive  sammalensammaleen  sammaliensammaltensammaleidensammaleitten  partitive  sammaltasammaletta  sammaliasammaleita  accusative  sammalsammalensammaleen  sammalet  inessive  sammalessasammaleessa  sammalissasammaleissa  elative  sammalestasammaleesta  sammalistasammaleista  illative  sammaleensammaleeseen  sammaliinsammaleisiin  adessive  sammalellasammaleella  sammalillasammaleilla  ablative  sammaleltasammaleelta  sammaliltasammaleilta  allative  sammalellesammaleelle  sammalillesammaleille  essive  sammalenasammaleena  sammalinasammaleina  translative  sammaleksisammaleeksi  sammaliksisammaleiksi  instructive  –  sammalinsammalein  abessive  sammalettasammaleetta  sammalittasammaleitta  comitative  –  sammalineensammaleineen,,singular,plural,nominative,sammal,sammaletsammaleet,genitive,sammalensammaleen,sammaliensammaltensammaleidensammaleitten,partitive,sammaltasammaletta,sammaliasammaleita,accusative,sammalsammalensammaleen,sammalet,inessive,sammalessasammaleessa,sammalissasammaleissa,elative,sammalestasammaleesta,sammalistasammaleista,illative,sammaleensammaleeseen,sammaliinsammaleisiin,adessive,sammalellasammaleella,sammalillasammaleilla,ablative,sammaleltasammaleelta,sammaliltasammaleilta,allative,sammalellesammaleelle,sammalillesammaleille,essive,sammalenasammaleena,sammalinasammaleina,translative,sammaleksisammaleeksi,sammaliksisammaleiksi,instructive,–,sammalinsammalein,abessive,sammalettasammaleetta,sammalittasammaleitta,comitative,–,sammalineensammaleineen
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,sammal,sammaletsammaleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,sammalensammaleen,sammaliensammaltensammaleidensammaleitten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,sammaltasammaletta,sammaliasammaleita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,sammalsammalensammaleen,sammalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,sammalessasammaleessa,sammalissasammaleissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,sammalestasammaleesta,sammalistasammaleista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,sammaleensammaleeseen,sammaliinsammaleisiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,sammalellasammaleella,sammalillasammaleilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,sammaleltasammaleelta,sammaliltasammaleilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,sammalellesammaleelle,sammalillesammaleille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,sammalenasammaleena,sammalinasammaleina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,sammaleksisammaleeksi,sammaliksisammaleiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,sammalinsammalein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,sammalettasammaleetta,sammalittasammaleitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,–,sammalineensammaleineen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,sammal,sammaletsammaleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,sammalensammaleen,sammaliensammaltensammaleidensammaleitten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,sammaltasammaletta,sammaliasammaleita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,sammalsammalensammaleen,sammalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,sammalessasammaleessa,sammalissasammaleissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,sammalestasammaleesta,sammalistasammaleista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,sammaleensammaleeseen,sammaliinsammaleisiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,sammalellasammaleella,sammalillasammaleilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,sammaleltasammaleelta,sammaliltasammaleilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,sammalellesammaleelle,sammalillesammaleille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,sammalenasammaleena,sammalinasammaleina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,sammaleksisammaleeksi,sammaliksisammaleiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,sammalinsammalein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,sammalettasammaleetta,sammalittasammaleitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,–,sammalineensammaleineen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sammaleinen  sammalikko  sammaloitua,,sammaltaa  sammaltua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aitosammal  karhunsammal  karstasammal,,kiirunansammal  lehtisammal,,maksasammal  rahkasammal,,sammalkasvi  sarvisammal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
