0,1,2,3,4,5,6,7,8,9
infinitive,V;NFIN,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,V;FIN;IND;IND;INDF1;SG,V;FIN;IND;IND;INDF2;SG,V;FIN;IND;IND;INDF3;SG;LGSPEC1,V;FIN;IND;IND;INDF3;SG;LGSPEC2,V;FIN;IND;INDF3;SG;LGSPEC3,V;FIN;IND;INDF3;SG;LGSPEC4,V;FIN;IND;INDF3;SG;LGSPEC5,V;FIN;IND;INDF3;SG;LGSPEC6
progressive,V;FIN;IND;PRES;1;SG,V;FIN;IND;PRES;2;SG,V;FIN;IND;PRES;3;SG;LGSPEC1,V;FIN;IND;PRES;3;SG;LGSPEC2,V;FIN;IND;PRES;3;SG;LGSPEC3,V;FIN;IND;PRES;3;SG;LGSPEC4,V;FIN;IND;PRES;3;SG;LGSPEC5,V;FIN;IND;PRES;3;SG;LGSPEC6,
habitual,V;FIN;IND;HAB;SG,,,,,,,,
past,V;FIN;IND;PST;1;SG,V;FIN;IND;PST;2;SG,V;FIN;IND;PST;3;SG;LGSPEC1,V;FIN;IND;PST;3;SG;LGSPEC2,V;FIN;IND;PST;3;SG;LGSPEC3,V;FIN;IND;PST;3;SG;LGSPEC4,V;FIN;IND;PST;3;SG;LGSPEC5,V;FIN;IND;PST;3;SG;LGSPEC6,
perfect,V;FIN;IND;PST;PRF;1;SG,V;FIN;IND;PST;PRF;2;SG,V;FIN;IND;PST;PRF;3;SG;LGSPEC1,V;FIN;IND;PST;PRF;3;SG;LGSPEC2,V;FIN;IND;PST;PRF;3;SG;LGSPEC3,V;FIN;IND;PST;PRF;3;SG;LGSPEC4,V;FIN;IND;PST;PRF;3;SG;LGSPEC5,V;FIN;IND;PST;PRF;3;SG;LGSPEC6,
future,V;FIN;IND;FUT;1;SG,V;FIN;IND;FUT;2;SG,V;FIN;IND;FUT;3;SG;LGSPEC1,V;FIN;IND;FUT;3;SG;LGSPEC2,V;FIN;IND;FUT;3;SG;LGSPEC3,V;FIN;IND;FUT;3;SG;LGSPEC4,V;FIN;IND;FUT;3;SG;LGSPEC5,V;FIN;IND;FUT;3;SG;LGSPEC6,
consecutive,V;FIN;IND;LGSPEC10;1;SG,V;FIN;IND;LGSPEC10;2;SG,V;FIN;IND;LGSPEC10;3;SG;LGSPEC1,V;FIN;IND;LGSPEC10;3;SG;LGSPEC2,V;FIN;IND;LGSPEC10;3;SG;LGSPEC3,V;FIN;IND;LGSPEC10;3;SG;LGSPEC4,V;FIN;IND;LGSPEC10;3;SG;LGSPEC5,V;FIN;IND;LGSPEC10;3;SG;LGSPEC6,
conditional,present,V;FIN;IND;COND;PRES;1;SG,V;FIN;IND;COND;PRES;2;SG,V;FIN;IND;COND;PRES;3;SG;LGSPEC1,V;FIN;IND;COND;PRES;3;SG;LGSPEC2,V;FIN;IND;COND;PRES;3;SG;LGSPEC3,V;FIN;IND;COND;PRES;3;SG;LGSPEC4,V;FIN;IND;COND;PRES;3;SG;LGSPEC5,V;FIN;IND;COND;PRES;3;SG;LGSPEC6
past,V;FIN;IND;COND;PST;1;SG,V;FIN;IND;COND;PST;2;SG,V;FIN;IND;COND;PST;3;SG;LGSPEC1,V;FIN;IND;COND;PST;3;SG;LGSPEC2,V;FIN;IND;COND;PST;3;SG;LGSPEC3,V;FIN;IND;COND;PST;3;SG;LGSPEC4,V;FIN;IND;COND;PST;3;SG;LGSPEC5,V;FIN;IND;COND;PST;3;SG;LGSPEC6,
subjunctive,general,V;FIN;IND;PST;1;SG,V;FIN;IND;PST;2;SG,V;FIN;IND;PST;3;SG;LGSPEC1,V;FIN;IND;PST;3;SG;LGSPEC2,V;FIN;IND;PST;3;SG;LGSPEC3,V;FIN;IND;PST;3;SG;LGSPEC4,V;FIN;IND;PST;3;SG;LGSPEC5,V;FIN;IND;PST;3;SG;LGSPEC6
consecutive,V;FIN;SUBJ;LGSPEC10;1;SG,V;FIN;SUBJ;LGSPEC10;2;SG,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC1,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC2,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC3,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC4,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC5,V;FIN;SUBJ;LGSPEC10;3;SG;LGSPEC6,
comitative,V;FIN;SUBJ;COM;PST;1;SG,V;FIN;SUBJ;COM;PST;2;SG,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC1,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC2,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC3,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC4,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC5,V;FIN;SUBJ;COM;PST;3;SG;LGSPEC6,
imperative,,faa!__fae!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,V;FIN;INDF1;PL,V;FIN;INDF2;PL,V;FIN;INDF3;PL;LGSPEC1,V;FIN;INDF3;PL;LGSPEC2,V;FIN;INDF3;PL;LGSPEC3,V;FIN;INDF3;PL;LGSPEC4,V;FIN;INDF3;PL;LGSPEC5,V;FIN;INDF3;PL;LGSPEC6
progressive,V;FIN;IND;PRES;1;PL,V;FIN;IND;PRES;2;PL,V;FIN;IND;PRES;3;PL;LGSPEC1,V;FIN;IND;PRES;3;PL;LGSPEC2,V;FIN;IND;PRES;3;PL;LGSPEC3,V;FIN;IND;PRES;3;PL;LGSPEC4,V;FIN;IND;PRES;3;PL;LGSPEC5,V;FIN;IND;PRES;3;PL;LGSPEC6,
habitual,V;FIN;IND;HAB;PL,,,,,,,,
past,V;FIN;IND;PST;1;PL,V;FIN;IND;PST;2;PL,V;FIN;IND;PST;3;PL;LGSPEC1,V;FIN;IND;PST;3;PL;LGSPEC2,V;FIN;IND;PST;3;PL;LGSPEC3,V;FIN;IND;PST;3;PL;LGSPEC4,V;FIN;IND;PST;3;PL;LGSPEC5,V;FIN;IND;PST;3;PL;LGSPEC6,
perfect,V;FIN;IND;PST;PRF;1;PL,V;FIN;IND;PST;PRF;2;PL,V;FIN;IND;PST;PRF;3;PL;LGSPEC1,V;FIN;IND;PST;PRF;3;PL;LGSPEC2,V;FIN;IND;PST;PRF;3;PL;LGSPEC3,V;FIN;IND;PST;PRF;3;PL;LGSPEC4,V;FIN;IND;PST;PRF;3;PL;LGSPEC5,V;FIN;IND;PST;PRF;3;PL;LGSPEC6,
future,V;FIN;IND;FUT;1;PL,V;FIN;IND;FUT;2;PL,V;FIN;IND;FUT;3;PL;LGSPEC1,V;FIN;IND;FUT;3;PL;LGSPEC2,V;FIN;IND;FUT;3;PL;LGSPEC3,V;FIN;IND;FUT;3;PL;LGSPEC4,V;FIN;IND;FUT;3;PL;LGSPEC5,V;FIN;IND;FUT;3;PL;LGSPEC6,
consecutive,V;FIN;IND;LGSPEC10;1;PL,V;FIN;IND;LGSPEC10;2;PL,V;FIN;IND;LGSPEC10;3;PL;LGSPEC1,V;FIN;IND;LGSPEC10;3;PL;LGSPEC2,V;FIN;IND;LGSPEC10;3;PL;LGSPEC3,V;FIN;IND;LGSPEC10;3;PL;LGSPEC4,V;FIN;IND;LGSPEC10;3;PL;LGSPEC5,V;FIN;IND;LGSPEC7;3;PL;LGSPEC6,
conditional,present,V;FIN;IND;COND;PRES;1;PL,V;FIN;IND;COND;PRES;2;PL,V;FIN;IND;COND;PRES;3;PL;LGSPEC1,V;FIN;IND;COND;PRES;3;PL;LGSPEC2,V;FIN;IND;COND;PRES;3;PL;LGSPEC3,V;FIN;IND;COND;PRES;3;PL;LGSPEC4,V;FIN;IND;COND;PRES;3;PL;LGSPEC5,V;FIN;IND;COND;PRES;3;PL;LGSPEC6
past,V;FIN;IND;COND;PST;1;PL,V;FIN;IND;COND;PST;2;PL,V;FIN;IND;COND;PST;3;PL;LGSPEC1,V;FIN;IND;COND;PST;3;PL;LGSPEC2,V;FIN;IND;COND;PST;3;PL;LGSPEC3,V;FIN;IND;COND;PST;3;PL;LGSPEC4,V;FIN;IND;COND;PST;3;PL;LGSPEC5,V;FIN;IND;COND;PST;3;PL;LGSPEC6,
subjunctive,general,V;FIN;SUBJ;PST;1;PL,V;FIN;SUBJ;PST;2;PL,V;FIN;SUBJ;PST;3;PL;LGSPEC1,V;FIN;SUBJ;PST;3;PL;LGSPEC2,V;FIN;SUBJ;PST;3;PL;LGSPEC3,V;FIN;SUBJ;PST;3;PL;LGSPEC4,V;FIN;SUBJ;PST;3;PL;LGSPEC5,V;FIN;SUBJ;PST;3;PL;LGSPEC6
consecutive,V;FIN;SUBJ;LGSPEC10;1;PL,V;FIN;SUBJ;LGSPEC10;2;PL,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC1,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC2,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC3,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC4,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC5,V;FIN;SUBJ;LGSPEC10;3;PL;LGSPEC6,
comitative,V;FIN;SUBJ;COM;PST;1;PL,V;FIN;SUBJ;COM;PST;2;PL,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC1,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC2,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC3,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC4,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC5,V;FIN;SUBJ;COM;PST;3;PL;LGSPEC6,
imperative,tufae,faeni!__faeni!‡,,,,,,,
infinitive,kutofaa or kutokufaa,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,sifai,hufai,hafai,haufai,halifai,hakifai,haifai,haufai
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,sikufaa,hukufaa,hakufaa,haukufaa,halikufaa,hakikufaa,haikufaa,haukufaa,
perfect,sijafaa,hujafaa,hajafaa,haujafaa,halijafaa,hakijafaa,haijafaa,haujafaa,
future,sitafaa,hutafaa,hatafaa,hautafaa,halitafaa,hakitafaa,haitafaa,hautafaa,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,nisingefaa,usingefaa,asingefaa,usingefaa,lisingefaa,kisingefaa,isingefaa,usingefaa
past,nisingalifaa,usingalifaa,asingalifaa,usingalifaa,lisingalifaa,kisingalifaa,isingalifaa,usingalifaa,
subjunctive,general,nisifae,usifae,asifae,usifae,lisifae,kisifae,isifae,usifae
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,nisipofaa,usipofaa,asipofaa,usipofaa,lisipofaa,kisipofaa,isipofaa,usipofaa,
imperative,,usifae!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,hatufai,hamfai,hawafai,haifai,hayafai,havifai,hazifai,hazifai
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,hatukufaa,hamkufaa,hawakufaa,haikufaa,hayakufaa,havikufaa,hazikufaa,hazikufaa,
perfect,hatujafaa,hamjafaa,hawajafaa,haijafaa,hayajafaa,havijafaa,hazijafaa,hazijafaa,
future,hatutafaa,hamtafaa,hawatafaa,haitafaa,hayatafaa,havitafaa,hazitafaa,hazitafaa,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,tusingefaa,msingefaa,wasingefaa,isingefaa,yasingefaa,visingefaa,zisingefaa,zisingefaa
past,tusingalifaa,msingalifaa,wasingalifaa,isingalifaa,yasingalifaa,visingalifaa,zisingalifaa,zisingalifaa,
subjunctive,general,tusifae,msifae,wasifae,isifae,yasifae,visifae,zisifae,zisifae
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,tusipofaa,msipofaa,wasipofaa,isipofaa,yasipofaa,visipofaa,zisipofaa,zisipofaa,
imperative,tusifae,msifae!‡,,,,,,,
